Week,Price,Sales,Remaining Inventory,Run,Your Revenue,Perfect Revenue,Difference (%)
5,48,72,1331,21,97842,108522,9.8
6,48,213,1118,21,97842,108522,9.8
7,48,180,938,21,97842,108522,9.8
8,48,102,836,21,97842,108522,9.8
9,48,232,604,21,97842,108522,9.8
10,48,191,413,21,97842,108522,9.8
11,48,113,300,21,97842,108522,9.8
12,48,264,36,21,97842,108522,9.8
13,48,36,0,21,97842,108522,9.8
14,48,0,0,21,97842,108522,9.8
15,48,0,0,21,97842,108522,9.8
1,60,93,1907,22,98250,105726,7.1
2,54,189,1718,22,98250,105726,7.1
3,48,197,1521,22,98250,105726,7.1
4,48,154,1367,22,98250,105726,7.1
5,48,83,1284,22,98250,105726,7.1
6,48,170,1114,22,98250,105726,7.1
7,48,157,957,22,98250,105726,7.1
8,48,131,826,22,98250,105726,7.1
9,48,229,597,22,98250,105726,7.1
10,48,200,397,22,98250,105726,7.1
11,48,176,221,22,98250,105726,7.1
12,48,178,43,22,98250,105726,7.1
13,48,43,0,22,98250,105726,7.1
14,48,0,0,22,98250,105726,7.1
15,48,0,0,22,98250,105726,7.1
1,60,79,1921,23,97890,97890,0.0
2,54,157,1764,23,97890,97890,0.0
3,48,108,1656,23,97890,97890,0.0
4,48,184,1472,23,97890,97890,0.0
5,48,125,1347,23,97890,97890,0.0
6,48,211,1136,23,97890,97890,0.0
7,48,98,1038,23,97890,97890,0.0
8,48,45,993,23,97890,97890,0.0
9,48,158,835,23,97890,97890,0.0
10,48,79,756,23,97890,97890,0.0
11,48,143,613,23,97890,97890,0.0
12,48,155,458,23,97890,97890,0.0
13,48,178,280,23,97890,97890,0.0
14,48,121,159,23,97890,97890,0.0
15,48,159,0,23,97890,97890,0.0
1,60,77,1923,24,97416,97860,0.5
2,54,82,1841,24,97416,97860,0.5
3,48,175,1666,24,97416,97860,0.5
4,48,156,1510,24,97416,97860,0.5
5,48,84,1426,24,97416,97860,0.5
6,48,240,1186,24,97416,97860,0.5
7,48,135,1051,24,97416,97860,0.5
8,48,180,871,24,97416,97860,0.5
9,48,127,744,24,97416,97860,0.5
10,48,110,634,24,97416,97860,0.5
11,48,167,467,24,97416,97860,0.5
12,48,83,384,24,97416,97860,0.5
13,48,153,231,24,97416,97860,0.5
14,48,76,155,24,97416,97860,0.5
15,48,155,0,24,97416,97860,0.5
1,60,134,1866,25,98400,119208,17.5
2,54,132,1734,25,98400,119208,17.5
3,48,199,1535,25,98400,119208,17.5
4,48,169,1366,25,98400,119208,17.5
5,48,261,1105,25,98400,119208,17.5
6,48,215,890,25,98400,119208,17.5
7,48,219,671,25,98400,119208,17.5
8,48,276,395,25,98400,119208,17.5
9,48,295,100,25,98400,119208,17.5
10,48,100,0,25,98400,119208,17.5
11,48,0,0,25,98400,119208,17.5
12,48,0,0,25,98400,119208,17.5
13,48,0,0,25,98400,119208,17.5
14,48,0,0,25,98400,119208,17.5
15,48,0,0,25,98400,119208,17.5
1,60,89,1911,26,97596,98226,0.6
2,54,88,1823,26,97596,98226,0.6
3,48,141,1682,26,97596,98226,0.6
4,48,172,1510,26,97596,98226,0.6
5,48,132,1378,26,97596,98226,0.6
6,48,224,1154,26,97596,98226,0.6
7,48,191,963,26,97596,98226,0.6
8,48,210,753,26,97596,98226,0.6
9,48,66,687,26,97596,98226,0.6
10,48,81,606,26,97596,98226,0.6
11,48,119,487,26,97596,98226,0.6
12,48,137,350,26,97596,98226,0.6
13,48,64,286,26,97596,98226,0.6
14,48,113,173,26,97596,98226,0.6
15,48,173,0,26,97596,98226,0.6
1,60,113,1887,27,98184,111288,11.8
2,54,138,1749,27,98184,111288,11.8
3,48,318,1431,27,98184,111288,11.8
4,48,256,1175,27,98184,111288,11.8
5,48,194,981,27,98184,111288,11.8
6,48,142,839,27,98184,111288,11.8
7,48,117,722,27,98184,111288,11.8
8,48,92,630,27,98184,111288,11.8
9,48,246,384,27,98184,111288,11.8
10,48,218,166,27,98184,111288,11.8
11,48,166,0,27,98184,111288,11.8
12,48,0,0,27,98184,111288,11.8
13,48,0,0,27,98184,111288,11.8
14,48,0,0,27,98184,111288,11.8
15,48,0,0,27,98184,111288,11.8
1,60,95,1905,28,97992,110148,11.0
2,54,142,1763,28,97992,110148,11.0
3,48,181,1582,28,97992,110148,11.0
4,48,90,1492,28,97992,110148,11.0
5,48,242,1250,28,97992,110148,11.0
6,48,236,1014,28,97992,110148,11.0
7,48,193,821,28,97992,110148,11.0
8,48,199,622,28,97992,110148,11.0
9,48,185,437,28,97992,110148,11.0
10,48,192,245,28,97992,110148,11.0
11,48,119,126,28,97992,110148,11.0
12,48,126,0,28,97992,110148,11.0
13,48,0,0,28,97992,110148,11.0
14,48,0,0,28,97992,110148,11.0
15,48,0,0,28,97992,110148,11.0
1,60,66,1934,29,80322,85572,6.1
2,54,55,1879,29,80322,85572,6.1
3,48,84,1795,29,80322,85572,6.1
4,48,141,1654,29,80322,85572,6.1
5,48,108,1546,29,80322,85572,6.1
6,48,173,1373,29,80322,85572,6.1
7,48,141,1232,29,80322,85572,6.1
8,48,172,1060,29,80322,85572,6.1
9,48,87,973,29,80322,85572,6.1
10,48,138,835,29,80322,85572,6.1
11,48,50,785,29,80322,85572,6.1
12,48,108,677,29,80322,85572,6.1
13,48,95,582,29,80322,85572,6.1
14,48,108,474,29,80322,85572,6.1
15,48,124,350,29,80322,85572,6.1
1,60,108,1892,30,98088,106986,8.3
2,54,132,1760,30,98088,106986,8.3
3,48,168,1592,30,98088,106986,8.3
4,48,244,1348,30,98088,106986,8.3
5,48,300,1048,30,98088,106986,8.3
6,48,79,969,30,98088,106986,8.3
7,48,82,887,30,98088,106986,8.3
8,48,180,707,30,98088,106986,8.3
9,48,187,520,30,98088,106986,8.3
10,48,167,353,30,98088,106986,8.3
11,48,99,254,30,98088,106986,8.3
12,48,172,82,30,98088,106986,8.3
13,48,82,0,30,98088,106986,8.3
14,48,0,0,30,98088,106986,8.3
